Nombre del producto o servicio,Nombre de la variante,Categoría,SKU,Cantidad,Moneda,Monto,Precio de costo,Utilidad,Margen
BEBIDA 350CC,Coca Cola,AMERICAN PRIME BURGER,,3,CLP,"6000,00",,,
BEBIDA 350CC,Coca Cola Zero,AMERICAN PRIME BURGER,,8,CLP,"15600,00",,,
BEBIDA 350CC,Fanta,AMERICAN PRIME BURGER,,1,CLP,"2000,00",,,
BEBIDA 350CC,Fanta Pomelo Zero,AMERICAN PRIME BURGER,,1,CLP,"2000,00",,,
BEBIDA 350CC,Kem,AMERICAN PRIME BURGER,,1,CLP,"2000,00",,,
BEBIDA 350CC,Pepsi Zero,AMERICAN PRIME BURGER,,1,CLP,"2000,00",,,
BEBIDA 350CC,Sprite Zero,AMERICAN PRIME BURGER,,1,CLP,"2000,00",,,
BEBIDA 350CC - Coca Cola,,,,12,CLP,"24000,00",,,
BEBIDA 350CC - Coca Cola,,AMERICAN PRIME BURGER,,112,CLP,"223600,00",,,
BEBIDA 350CC - Coca Cola Light,,AMERICAN PRIME BURGER,,4,CLP,"8000,00",,,
BEBIDA 350CC - Coca Cola Zero,,,,2,CLP,"4000,00",,,
BEBIDA 350CC - Coca Cola Zero,,AMERICAN PRIME BURGER,,35,CLP,"70000,00",,,
BEBIDA 350CC - Fanta Pomelo Zero,,AMERICAN PRIME BURGER,,3,CLP,"6000,00",,,
BEBIDA 350CC - Fanta Zero,,AMERICAN PRIME BURGER,,10,CLP,"20000,00",,,
BEBIDA 350CC - Fanta Zero Pomelo,,,,1,CLP,"2000,00",,,
BEBIDA 350CC - Fanta Zero Pomelo,,AMERICAN PRIME BURGER,,3,CLP,"6000,00",,,
BEBIDA 350CC - Kem,,AMERICAN PRIME BURGER,,4,CLP,"8000,00",,,
BEBIDA 350CC - Limón soda,,AMERICAN PRIME BURGER,,1,CLP,"2000,00",,,
BEBIDA 350CC - Limón soda,,AMERICAN PRIME BURGER,,4,CLP,"8000,00",,,
BEBIDA 350CC - Pepsi,,AMERICAN PRIME BURGER,,4,CLP,"8000,00",,,
BEBIDA 350CC - Pepsi,,,,1,CLP,"2000,00",,,
BEBIDA 350CC - Pepsi Zero,,AMERICAN PRIME BURGER,,8,CLP,"16000,00",,,
BEBIDA 350CC - Sprite,,,,1,CLP,"2000,00",,,
BEBIDA 350CC - Sprite,,AMERICAN PRIME BURGER,,5,CLP,"10000,00",,,
